iter	Passed	Remaining
398	68790	138097
399	69014	138029
400	69236	137954
401	69458	137880
402	69664	137773
403	69887	137699
404	70079	137562
405	70231	137350
406	70342	137054
407	70540	136930
408	70761	136852
409	70912	136637
410	71037	136371
411	71206	136190
412	71449	136152
413	71545	135832
414	71672	135572
415	71858	135425
416	71987	135170
417	72161	135001
418	72299	134763
419	72441	134533
420	72551	134246
421	72645	133930
422	72915	133936
423	73050	133696
424	73140	133373
425	73306	133190
426	73482	133025
427	73604	132762
428	73690	132436
429	73819	132187
430	73931	131910
431	74105	131742
432	74208	131449
433	74305	131147
434	74456	130940
435	74569	130667
436	74689	130407
437	74827	130179
438	74939	129906
439	75033	129603
440	75202	129429
441	75357	129232
442	75597	129181
443	75743	128968
444	75842	128676
445	75964	128424
446	76108	128210
447	76274	128031
448	76445	127863
449	76590	127651
450	76758	127477
451	76866	127203
452	77061	127075
453	77172	126808
454	77350	126651
455	77507	126459
456	77596	126157
457	77716	125907
458	77899	125759
459	78025	125519
460	78138	125259
461	78267	125025
462	78379	124763
463	78566	124622
464	78741	124463
465	78996	124428
466	79102	124158
467	79214	123899
468	79336	123657
469	79470	123433
470	79645	123273
471	80014	123412
472	80203	123272
473	80336	123047
474	80535	122922
475	80657	122680
476	80802	122474
477	80952	122276
478	81105	122081
479	81318	121978
480	81525	121863
481	81677	121668
482	81821	121462
483	81930	121202
484	82020	120917
485	82114	120636
486	82228	120387
487	82322	120109
488	82449	119880
489	82555	119621
490	82689	119402
491	82784	119129
492	82876	118851
493	83008	118632
494	83231	118542
495	83331	118276
496	83463	118058
497	83597	117841
498	83760	117666
499	83879	117431
500	83986	117179
501	84130	116978
502	84243	116735
503	84378	116522
504	84473	116255
505	84644	116092
506	84761	115857
507	84887	115634
508	85021	115421
509	85190	115257
510	85383	115125
511	85584	115004
512	85737	114817
513	85829	114551
514	85953	114326
515	86102	114136
516	86229	113916
517	86385	113735
518	86541	113554
519	86717	113399
520	86826	113157
521	86935	112916
522	87107	112756
523	87214	112513
524	87359	112319
525	87506	112128
526	87632	111910
527	87765	111701
528	87876	111465
529	88008	111255
530	88100	110997
531	88225	110778
532	88333	110541
533	88488	110362
534	88597	110126
535	88733	109923
536	88848	109695
537	89168	109720
538	89313	109529
539	89456	109335
540	89586	109127
541	89698	108896
542	89798	108651
543	89915	108427
544	90031	108202
545	90146	107977
546	90262	107753
547	90394	107549
548	90519	107337
549	90650	107132
550	90777	106923
551	90911	106721
552	91024	106496
553	91163	106302
554	91265	106065
555	91375	105837
556	91490	105616
557	91620	105413
558	91702	105154
559	91802	104916
560	91967	104754
561	92065	104515
562	92172	104287
563	92298	104081
564	92402	103850
565	92654	103786
566	92824	103629
567	92913	103382
568	93037	103175
569	93197	103007
570	93338	102819
571	93447	102595
572	93568	102385
573	93705	102193
574	93786	101941
575	93912	101738
576	94086	101586
577	94210	101382
578	94351	101196
579	94483	100999
580	94643	100833
581	94719	100578
582	94807	100336
583	94950	100153
584	95028	99901
585	95365	99921
586	95489	99718
587	95600	99502
588	95728	99304
589	95846	99095
590	95943	98865
591	96086	98683
592	96206	98477
593	96316	98261
594	96442	98063
595	96550	97846
596	96644	97615
597	96731	97378
598	96835	97158
599	96954	96954
600	97062	96739
601	97188	96543
602	97268	96300
603	97389	96099
604	97469	95858
605	97573	95641
606	97736	95482
607	97850	95275
608	97955	95060
609	98058	94843
610	98177	94642
611	98393	94534
612	98486	94309
613	98596	94100
614	98679	93865
615	98839	93704
616	98992	93537
617	99093	93320
618	99214	93123
619	99343	92933
620	99460	92733
621	99578	92534
622	99699	92338
623	99804	92127
624	99929	91934
625	100037	91727
626	100145	91520
627	100275	91333
628	100370	91115
629	100599	91018
630	100800	90896
631	100997	90769
632	101119	90575
633	101209	90354
634	101308	90140
635	101417	89936
636	101526	89732
637	101640	89533
638	101761	89339
639	101877	89142
640	102002	88953
641	102116	88755
642	102214	88543
643	102317	88335
644	102399	88111
645	102517	87917
646	102659	87744
647	102757	87533
648	102859	87327
649	102963	87122
650	103057	86909
651	103241	86773
652	103404	86619
653	103561	86459
654	103680	86268
655	103847	86117
656	103997	85952
657	104124	85768
658	104310	85632
659	104435	85447
660	104605	85298
661	104714	85100
662	104806	84888
663	104917	84692
664	105054	84517
665	105160	84318
666	105318	84159
667	105410	83949
668	105537	83767
669	105663	83584
670	105838	83440
671	105992	83279
672	106095	83079
673	106271	82935
674	106412	82765
675	106582	82616
676	106746	82464
677	106886	82293
678	107068	82153
679	107303	82055
680	107455	81893
681	107619	81740
682	107844	81633
683	107997	81471
684	108094	81267
685	108186	81061
686	108310	80878
687	108530	80766
688	108665	80592
689	108973	80545
690	109319	80526
691	109492	80379
692	109701	80257
693	109834	80081
694	110039	79956
695	110151	79765
696	110267	79576
697	110434	79424
698	110580	79256
699	110796	79140
700	110916	78955
701	111015	78754
702	111234	78639
703	111350	78451
704	111594	78353
705	111847	78261
706	112024	78115
