iter	RMSE
242	107843.0661
243	107797.9531
244	107735.4827
245	107629.6981
246	107559.7588
247	107491.2895
248	107421.219
249	107363.4232
250	107360.536
251	107297.9506
252	107295.1194
253	107210.2259
254	107176.8177
255	107086.2363
256	107009.7837
257	106963.7177
258	106870.6558
259	106807.6825
260	106804.9888
261	106717.6152
262	106714.9636
263	106626.5284
264	106530.9401
265	106490.2898
266	106426.4874
267	106328.4082
268	106248.4614
269	106196.7198
270	106106.6627
271	106103.6067
272	106068.3478
273	105943.8262
274	105825.8879
275	105793.5828
276	105780.7243
277	105777.8038
278	105712.3042
279	105709.9904
280	105655.1685
281	105613.5707
282	105541.1527
283	105470.5356
284	105404.3325
285	105300.9791
286	105240.2114
287	105161.1476
288	105064.6442
289	105031.3488
290	104982.6461
291	104943.1865
292	104862.3822
293	104794.6759
294	104767.7198
295	104689.9967
296	104649.8441
297	104565.3822
298	104524.1572
299	104448.8084
300	104400.2175
301	104307.5182
302	104210.0318
303	104171.6264
304	104076.3787
305	104073.3989
306	104005.3363
307	103996.3194
308	103876.6488
309	103829.3971
310	103781.6303
311	103697.3685
312	103610.3327
313	103608.0151
314	103568.8074
315	103520.8666
316	103460.7104
317	103450.9169
318	103380.7527
319	103356.3826
320	103301.8184
321	103299.5084
322	103262.2543
323	103165.7304
324	103128.1257
325	103097.0871
326	103076.5398
327	103074.4921
328	103065.9898
329	103061.9386
330	103012.7538
331	102950.8578
332	102926.3797
333	102912.0989
334	102885.2716
335	102843.9593
336	102778.1948
337	102685.1641
338	102577.3706
339	102561.49
340	102545.9458
341	102494.258
342	102471.8871
343	102462.6353
344	102410.3127
345	102383.6317
346	102258.8602
347	102246.5808
348	102243.7317
349	102184.569
350	102129.0301
351	102019.7954
352	101933.2824
353	101876.4464
354	101868.2727
355	101858.9459
356	101857.3022
357	101812.773
358	101776.0139
359	101676.1257
360	101672.8662
361	101655.063
362	101580.6041
363	101528.4531
364	101506.005
365	101497.9719
366	101359.4979
367	101244.7998
368	101160.3249
369	101146.0802
370	101121.4875
371	101107.9371
372	101105.1081
373	101054.9983
374	100942.9807
375	100921.7967
376	100887.0397
377	100883.0132
378	100878.7688
379	100871.7138
380	100808.56
381	100771.4569
382	100766.1551
383	100699.2133
384	100643.6761
385	100638.8092
386	100598.9872
387	100529.7632
388	100441.8774
389	100437.96
390	100345.4965
391	100244.541
392	100212.9362
393	100203.0153
394	100109.9495
395	100106.5719
396	100036.57
397	99959.92261
398	99957.35693
399	99948.86641
400	99890.84182
401	99860.63867
402	99783.02194
403	99701.00588
404	99630.46922
405	99624.05735
406	99493.49811
407	99489.94755
408	99412.50479
409	99388.18723
410	99304.26763
411	99217.1379
412	99213.204
413	99210.41165
414	99149.95756
415	99088.10597
416	99034.8718
417	98958.51896
418	98864.05758
419	98855.33444
420	98852.65783
421	98805.50739
422	98747.17228
423	98702.78414
424	98669.42433
425	98624.89262
426	98599.47374
427	98587.02211
428	98509.38502
429	98449.44122
430	98437.27261
431	98380.40193
432	98374.54231
433	98322.71227
434	98278.12218
435	98233.4913
436	98171.41371
437	98107.04528
438	98027.93414
439	97994.53434
440	97910.91746
441	97828.71725
442	97775.08088
443	97750.70369
444	97726.38727
445	97723.56736
446	97689.28437
447	97673.44389
448	97624.68786
449	97538.09565
450	97535.50248
451	97502.28377
452	97481.61323
453	97467.09921
454	97443.93442
455	97405.47496
456	97403.76792
457	97357.56826
458	97302.36731
459	97250.15938
460	97231.55828
461	97181.46775
462	97119.35377
463	97047.19733
464	96957.18757
465	96905.236
466	96825.85963
467	96823.51764
468	96743.41249
469	96683.44597
470	96648.05466
471	96579.30444
472	96542.03738
473	96436.99118
474	96342.09069
475	96340.30936
476	96313.12385
477	96238.32376
478	96189.8473
479	96128.70054
480	96058.94615
481	95964.89477
482	95946.73433
483	95921.057
484	95808.47134
485	95768.41948
486	95749.60489
487	95691.46423
488	95671.55149
489	95575.74881
490	95501.84201
491	95467.38563
492	95463.36263
493	95461.12327
494	95350.93661
495	95308.03081
496	95243.6286
497	95221.81004
498	95202.2692
499	95130.09796
500	95104.46363
501	95032.20509
502	94979.94753
503	94978.01257
504	94884.80978
505	94844.45338
506	94773.01097
507	94743.56122
508	94719.47186
509	94660.17337
510	94619.41797
511	94551.2183
512	94439.04732
513	94385.1985
514	94318.96534
515	94291.93904
516	94244.70176
517	94223.61647
518	94147.12908
519	94083.63773
520	94011.13677
521	93964.77389
522	93875.23909
523	93851.8614
524	93846.70195
525	93828.37723
526	93786.66251
527	93741.82525
528	93674.02909
529	93605.60428
530	93577.95629
531	93554.08936
532	93499.51428
533	93466.29035
534	93377.60518
535	93333.11531
536	93301.9052
537	93271.22858
538	93221.47162
539	93147.71315
540	93076.38553
541	93005.14746
542	92984.59201
543	92957.25063
544	92918.1891
545	92874.46245
546	92831.8226
547	92806.18591
548	92731.57247
549	92697.35596
550	92673.38882
551	92640.6145
552	92565.25992
553	92548.32499
554	92466.16942
555	92425.16809
556	92356.20353
557	92339.88224
558	92324.17675
559	92322.36121
560	92281.13163
561	92199.7343
562	92137.98774
563	92111.19678
564	92038.8582
565	91968.67934
566	91927.65064
567	91905.22823
568	91842.19222
569	91831.83993
570	91799.1044
571	91759.04788
572	91744.27458
573	91675.38693
574	91662.73054
575	91618.75545
576	91586.91094
577	91574.84429
578	91499.28236
579	91457.60871
580	91434.32644
581	91387.78483
582	91321.92302
583	91245.37339
584	91227.0471
585	91164.25671
586	91120.37928
587	91072.35303
588	91002.27236
589	90950.5613
590	90936.36415
591	90888.04278
592	90838.37505
593	90746.73074
594	90736.05543
595	90734.42372
596	90715.9398
597	90649.67173
598	90560.91317
599	90496.57599
600	90409.53596
601	90339.14247
602	90337.64707
603	90272.90736
604	90222.85311
605	90199.92225
606	90183.13094
607	90165.28225
608	90134.65328
609	90127.32734
610	90043.21591
611	89981.68092
612	89961.79895
613	89918.85205
614	89917.71002
615	89859.72174
616	89810.02566
617	89808.50052
618	89760.79191
619	89717.77568
620	89667.83891
621	89632.43861
622	89582.03491
623	89539.2233
624	89499.90834
625	89432.60068
626	89343.19996
627	89314.5607
628	89263.07492
629	89214.88798
630	89207.35167
631	89177.19352
632	89175.88059
633	89104.80216
634	89045.67231
635	88946.6536
636	88835.07705
637	88800.57279
638	88787.84879
639	88733.56187
640	88643.59535
641	88585.5467
642	88523.10748
643	88495.2894
644	88448.32974
645	88386.37004
646	88304.54038
647	88242.14324
648	88179.53447
649	88127.66321
650	88076.03774
651	88063.28831
652	88021.30864
653	87972.38462
654	87888.00634
655	87807.26028
656	87739.59616
657	87702.63008
658	87663.57852
659	87585.55496
660	87544.83163
661	87512.94293
662	87493.13949
663	87444.45996
664	87401.16109
665	87386.07115
666	87380.08453
667	87370.85075
668	87333.76858
669	87271.00809
670	87237.90795
671	87172.38319
672	87131.53103
673	87084.57272
674	87047.92072
675	87007.34546
676	86947.09795
677	86892.13182
678	86890.6553
679	86884.4934
680	86834.23392
681	86776.1018
682	86738.67497
683	86710.05874
684	86676.19721
685	86642.74393
686	86591.60209
687	86546.99953
688	86512.42726
689	86483.32716
690	86427.11033
691	86382.45002
692	86340.19625
693	86326.51187
694	86310.24354
695	86269.12169
696	86212.70302
697	86171.39158
698	86120.456
699	86070.30047
700	86031.65773
701	85991.56231
702	85920.57916
703	85856.46796
704	85821.17137
705	85787.01636
706	85733.03637
707	85679.38915
708	85634.43828
709	85594.95234
710	85579.31973
711	85566.59135
712	85517.50554
713	85461.57928
714	85438.72457
715	85404.68003
716	85403.57819
717	85362.29335
718	85325.66033
719	85261.14162
720	85208.18151
721	85148.7587
722	85072.7615
723	85045.61727
724	85021.32893
725	84965.98384
726	84937.73098
727	84886.67015
728	84853.17044
729	84806.36516
730	84773.3054
731	84693.3938
732	84645.40913
733	84617.21884
734	84606.53743
735	84556.62533
736	84537.58181
737	84501.58524
738	84443.77124
739	84403.47219
740	84368.314
741	84339.32276
742	84293.42947
743	84245.76873
744	84216.77614
745	84191.0092
746	84129.6353
747	84088.70368
748	84082.87348
749	84047.35696
750	84030.88965
751	84000.93222
752	83948.68948
753	83926.10519
754	83890.46273
755	83806.45928
756	83727.73737
757	83691.19347
758	83664.71158
759	83606.70901
760	83542.84892
761	83495.28481
762	83438.00674
763	83412.80093
764	83399.92891
765	83334.24855
766	83315.39945
767	83288.65547
768	83241.96541
769	83201.26661
770	83133.47357
771	83080.65954
772	83040.89122
773	83023.20545
774	82971.96853
775	82911.58175
776	82872.19802
777	82858.19946
778	82816.2677
779	82774.52475
780	82702.75355
781	82639.24285
782	82603.61609
783	82590.39737
784	82530.8479
785	82477.89787
786	82449.21381
787	82404.18239
788	82349.2608
789	82311.3598
790	82289.93509
791	82235.02668
792	82204.32388
793	82119.63841
794	82093.27041
795	82056.33424
796	82030.50495
797	81975.53886
798	81931.98965
799	81888.3043
800	81867.27876
801	81840.95476
802	81775.63318
803	81740.29797
804	81695.54286
805	81687.38207
806	81669.49409
807	81634.30508
808	81614.143
809	81575.46999
810	81490.71142
811	81445.37689
812	81409.49486
813	81386.64357
814	81365.1147
815	81332.9359
816	81297.14961
817	81228.51026
818	81160.19264
819	81071.89909
820	81020.45829
821	81006.73184
822	80969.60171
823	80905.65468
824	80844.23916
825	80785.85629
826	80738.71118
827	80706.83225
828	80671.87131
829	80639.06022
830	80609.37074
831	80580.25567
832	80531.07661
833	80490.93089
834	80448.4355
835	80375.08405
836	80315.30862
837	80260.60264
838	80238.78164
839	80201.04134
840	80186.0207
841	80119.72164
842	80096.71281
843	80062.15222
844	79992.96595
845	79918.14747
846	79880.79004
847	79880.22818
848	79869.28144
849	79809.14794
850	79786.72316
851	79744.64023
852	79702.79593
853	79655.63011
854	79611.79207
855	79554.18114
856	79529.57507
857	79448.19818
858	79413.94041
859	79392.87538
860	79331.91073
861	79308.26226
862	79260.26376
863	79185.04648
864	79126.08742
865	79068.08619
866	79040.14462
867	78972.34374
868	78900.18599
869	78866.66331
870	78818.62916
871	78803.44652
872	78792.97552
873	78719.0719
874	78677.46109
875	78639.75506
876	78610.0198
877	78556.05566
878	78541.50387
879	78519.82416
880	78475.63375
881	78468.95343
882	78408.27583
883	78359.49848
884	78333.78973
885	78284.9642
886	78254.71643
887	78208.43642
888	78185.71381
889	78167.8523
890	78131.12161
891	78103.63311
892	78055.79248
893	78019.60978
894	77987.41186
895	77948.99756
896	77916.56419
897	77902.86462
898	77879.69155
899	77828.99264
900	77800.78335
901	77724.27812
902	77692.52752
903	77660.09865
904	77652.18876
905	77619.06115
906	77584.8131
907	77553.76951
908	77498.29853
909	77467.59476
910	77434.418
911	77383.17388
912	77324.86901
913	77315.3127
914	77287.75953
915	77264.65952
916	77225.85321
917	77204.17961
918	77177.65691
919	77137.66257
920	77100.24686
921	77069.94713
922	77023.17126
923	76999.11122
924	76955.78516
925	76925.03817
926	76872.53431
927	76822.76401
928	76779.0621
929	76761.94565
930	76738.22119
931	76692.20238
932	76640.86358
933	76610.69829
934	76578.03043
935	76571.51139
936	76528.45104
937	76501.26828
938	76449.4546
939	76422.53064
940	76372.29066
941	76333.93221
942	76327.82226
943	76297.73618
944	76252.99595
945	76215.16791
946	76182.20969
947	76147.41774
948	76089.76062
949	76058.17909
950	76021.23882
951	76006.54516
952	75991.52723
953	75944.70229
954	75898.6241
955	75871.79613
956	75847.70717
957	75844.33678
958	75799.59936
959	75760.52737
960	75731.64402
961	75699.20082
962	75659.94648
963	75618.98914
964	75593.66878
965	75578.47118
966	75517.4509
967	75484.04116
968	75442.51691
969	75397.64849
970	75376.93586
971	75336.36123
972	75300.49201
973	75258.57339
974	75222.62652
975	75167.41013
976	75143.31203
977	75097.70798
978	75082.45002
979	75057.48032
980	75031.09028
981	75004.71295
982	74976.78964
983	74944.27109
984	74925.14122
985	74880.69644
986	74831.37349
987	74796.09243
988	74735.4608
989	74701.99725
990	74645.9973
991	74617.52209
992	74592.34522
993	74563.05673
994	74525.76876
995	74481.66678
996	74437.16513
997	74416.37078
998	74408.77227
999	74384.93932
1000	74360.20391
1001	74322.24031
1002	74275.97445
1003	74227.24345
1004	74181.72599
1005	74157.58224
1006	74149.20822
1007	74116.86581
1008	74080.59971
1009	74035.4989
1010	73995.84606
1011	73968.83694
1012	73931.34912
1013	73930.68678
1014	73895.49078
1015	73851.65134
1016	73828.62132
1017	73790.38049
1018	73759.17019
1019	73731.57404
1020	73687.31528
1021	73652.84301
1022	73619.23325
1023	73579.18809
1024	73549.80984
1025	73526.83646
1026	73461.30304
1027	73429.03012
1028	73394.47446
1029	73365.59339
1030	73313.90749
1031	73265.4207
1032	73243.58504
1033	73196.53307
1034	73176.54063
1035	73159.48415
1036	73117.04351
1037	73073.0474
1038	73046.56806
1039	73018.58049
1040	72988.99231
1041	72966.32743
1042	72917.0137
1043	72894.52971
1044	72863.96222
1045	72825.70286
1046	72801.90638
1047	72771.96606
1048	72751.71297
1049	72721.55638
1050	72679.78335
1051	72632.99669
1052	72591.71852
1053	72573.65736
1054	72540.90921
1055	72505.11523
1056	72459.88442
1057	72442.97758
1058	72389.66696
1059	72355.44691
1060	72354.87677
1061	72327.43896
1062	72296.21395
1063	72280.88545
1064	72234.28401
1065	72212.86399
1066	72183.27958
1067	72159.95362
1068	72119.06838
1069	72072.05708
1070	72032.75696
1071	72008.38897
1072	71973.09184
1073	71923.42849
1074	71891.19162
1075	71854.61365
1076	71828.79162
1077	71806.05656
1078	71790.49802
1079	71747.40967
1080	71717.42689
1081	71701.00274
1082	71664.56261
1083	71620.46689
1084	71559.9447
1085	71539.48643
1086	71478.82215
1087	71453.20198
1088	71408.94874
1089	71367.62603
1090	71340.11685
1091	71299.769
1092	71265.34833
1093	71248.54722
1094	71228.24882
1095	71217.48725
1096	71196.5056
1097	71157.39755
1098	71125.16168
1099	71102.92374
1100	71069.19218
1101	71053.58135
1102	71032.00024
1103	70964.96705
1104	70933.44529
1105	70879.34966
1106	70846.42849
1107	70804.25304
1108	70780.86656
1109	70743.55838
1110	70725.04163
1111	70682.23747
1112	70650.29795
1113	70620.32789
1114	70604.79542
1115	70564.01658
1116	70546.05387
1117	70505.1242
1118	70485.07823
1119	70440.34018
1120	70425.31183
1121	70383.66649
1122	70339.47947
1123	70320.59563
1124	70281.37466
1125	70237.74321
1126	70232.59132
1127	70189.26421
1128	70167.0052
1129	70137.13935
1130	70100.7945
1131	70068.34843
1132	70036.50288
1133	69992.16258
1134	69972.75997
1135	69945.5354
1136	69904.34125
1137	69890.16069
1138	69869.84042
1139	69835.96396
1140	69792.56049
1141	69765.07435
1142	69756.68764
1143	69718.24424
1144	69693.73034
1145	69673.01853
1146	69642.27752
1147	69608.90888
1148	69606.76392
1149	69579.12213
1150	69541.16935
1151	69500.25128
1152	69479.03374
1153	69449.67494
1154	69449.27468
1155	69427.02934
1156	69391.39239
1157	69371.44664
1158	69368.09352
1159	69367.7955
1160	69337.03903
1161	69301.46356
1162	69275.37083
1163	69268.61174
1164	69236.68476
1165	69233.63407
1166	69199.57373
1167	69180.0965
1168	69134.46941
1169	69106.78733
1170	69087.99307
1171	69072.10086
1172	69045.01218
1173	69015.21716
1174	68994.23779
1175	68967.95573
1176	68939.78701
1177	68906.2065
1178	68878.76723
1179	68865.31563
1180	68839.03301
1181	68838.56155
1182	68816.6235
1183	68801.36622
1184	68774.58039
1185	68749.69253
1186	68706.20598
1187	68668.6953
1188	68613.74361
1189	68570.57942
1190	68553.11648
1191	68541.94926
1192	68527.02542
1193	68504.0374
1194	68486.59439
1195	68465.41376
1196	68428.67587
1197	68412.70202
1198	68379.1912
1199	68340.70763
